[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::IDLE-CYCLES-FRONTEND unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_STALLED_CYCLES_BACKEND event found (hex code: 40000042)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_STALLED_CYCLES_BACKEND unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::STALLED-CYCLES-BACKEND event found (hex code: 40000043)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::STALLED-CYCLES-BACKEND unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::IDLE-CYCLES-BACKEND event found (hex code: 40000044)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::IDLE-CYCLES-BACKEND unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_REF_CPU_CYCLES event found (hex code: 40000045)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_REF_CPU_CYCLES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::REF-CYCLES event found (hex code: 40000046)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::REF-CYCLES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_CPU_CLOCK event found (hex code: 40000047)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_CPU_CLOCK unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::CPU-CLOCK event found (hex code: 40000048)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::CPU-CLOCK unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_TASK_CLOCK event found (hex code: 40000049)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_TASK_CLOCK unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::TASK-CLOCK event found (hex code: 4000004a)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::TASK-CLOCK unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_PAGE_FAULTS event found (hex code: 4000004b)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_PAGE_FAULTS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PAGE-FAULTS event found (hex code: 4000004c)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PAGE-FAULTS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::FAULTS event found (hex code: 4000004d)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::FAULTS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_CONTEXT_SWITCHES event found (hex code: 4000004e)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_CONTEXT_SWITCHES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::CONTEXT-SWITCHES event found (hex code: 4000004f)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::CONTEXT-SWITCHES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::CS event found (hex code: 40000050)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::CS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_CPU_MIGRATIONS event found (hex code: 40000051)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_CPU_MIGRATIONS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::CPU-MIGRATIONS event found (hex code: 40000052)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::CPU-MIGRATIONS unit is  and return value type is INT64 Adding to Component Events Info vector.
